FieldID,Region,Sampling Time,Year,Sand,Clay,Drainage,SoilType,pH,tile,OM,TOC,Date_Of_TOC,TN,CtoN,Rtn,rtnNumber,PrevCrop,Ncredit_lb/ac,Ncredit_kg/ha,CvrPriorYr,cvrsSpeciesLgTm,cvrs5yrs,SpringfallTillPasses,tillType,mnr5yrs,mnrSource,mnrSolid,mnrN_lb/ac,mnrN_kg/ha,mnrTiming,fertN_lb/ac,fertN_kg/ha,totalN_lb/ac,totalN_kg/ha
AP1601,1,1,2016,30,14,5,5,7.63,1,2.83,2.166,10/12/17,0.192,11.28125,CC,1,0,0,0,0,none,0,3,3,5,dairy,L,244,273,2,63,70,307,344
AP1602,1,1,2016,58,8,5,3,6.83,0,2.83,1.932,10/12/17,0.171,11.29824561,CGbW,3,4,0,0,1,tillage radish,1,2,3,1,dairy,L,102,114,2,137,154,239,268
AP1603,1,1,2016,43.8,16,5,3,7.57,0,2.97,2.542,10/12/17,0.167,15.22155689,CGbW,3,4,0,0,0,tillage radish,1,2,3,2,dairy,L,0,0,0,137,154,137,154
AP1604,1,1,2016,29.1,17.5,5,5,7.67,0,2.3,3.021,10/2/18,0.176,17.16477273,CC,1,1,0,0,0,none,0,2,.,3,dairy,L,144,161,4,72,81,216,242
AP1605,1,1,2016,30,14,5,5,7.5,0,2.43,1.738,10/2/18,0.104,16.71153846,CC,1,1,0,0,0,none,0,2,.,3,dairy,L,0,0,0,141,158,141,158
AP1606,1,1,2016,29.1,17.5,5,5,7.13,0,2.43,1.733,10/12/17,0.142,12.20422535,WCWCCW,3,0,0,0,0,"rye in 2014, and tillage radish with crimson clover and austrian winter peas in 2012",2,0,1,0,none,none,0,0,0,141,158,141,158
AP1607,1,1,2016,26.4,20.5,4,3,7.7,0,3.67,2.542,10/12/17,0.165,15.40606061,CC,1,0,0,0,0,none,0,3,3,5,dairy,L,119,134,2,17,19,136,153
AP1608,1,1,2016,45,15,3,5,7.2,0,4.53,2.069,10/12/17,0.186,11.12365591,CCCAAAAA,4,3,90,101,0,none,0,3,3,2,dairy,L,70,78,2,0,0,171,179
AP1701,1,1,2017,58,8,5,3,7.4,0,4,2.684,2/28/19,0.25,10.736,CCCAAAA,4,0,0,0,1,Rye,1,1,3,5,dairy,L,105,118,2,0,0,105,118
AP1702,1,1,2017,20,31,5,5,7.07,0,2.53,2.123,10/12/17,0.17,12.48823529,CCCAAAWW,4,3,90,101,0,none,0,4,3,0,none,none,0,0,0,95,107,196,208
AP1703,1,1,2017,30,14,5,5,7.1,0,2.9,1.748,10/12/17,0.136,12.85206884,CCCAAAA,4,3,90,101,0,none,.,0,.,1,.,L,0,0,0,0,0,101,101
AP1704,1,1,2017,82.2,8.5,5,1,7.33,0,2.57,2.172,1/31/19,0.184,11.80434783,CCCAAA,4,0,0,0,0,none,0,4,3,5,dairy,L,112,126,4,105,118,217,243
AP1705,1,1,2017,58,8,5,3,7.5,0,2.87,2.613,10/12/17,0.177,14.76271186,CGbW,3,4,0,0,0,none,0,2,3,0,none,none,0,0,0,192,215,192,215
AP1706,1,1,2017,67,10,6,4,7.33,0,2.67,2.193,10/12/17,0.184,11.91847826,CCAAAAW,4,3,90,101,0,none,0,0,1,5,dairy,L,105,118,1,63,71,269,289
AP1707,1,1,2017,29.1,17.5,5,5,6.63,0,2.93,2.201,10/12/17,0.168,13.10119048,CCCAAAA,4,3,90,101,1,triticale,2,3,3,0,none,none,0,0,0,82,92,183,193
AP1708,1,1,2017,30,14,5,5,7.6,0,2.57,1.948,1/31/19,0.247,7.886639676,CCOAAARye,4,0,0,0,0,Rye,1,3,3,5,dairy,B,136,152,4,25,28,161,180
AP1709,1,1,2017,7.2,22.5,3,6,7.63,0,3.27,1.962,1/31/19,0.187,10.49197861,CCSCWW,3,0,0,0,0,none,0,3,3,3,dairy,L,0,0,0,206,230,206,230
AP1712,1,1,2017,29.1,17.5,5,5,7.2,0,2.7,2.453,10/12/17,0.191,12.84293194,CCAAA,4,3,90,101,0,none,0,0,3,4,dairy,L,0,0,0,128,143,228,244
AP1713,1,1,2017,26.4,20.5,5,8,7.4,0,3.07,2.958,1/31/19,0.242,12.2231405,CCCOAAA,4,3,90,101,0,none,0,2,3,1,dairy,L,70,78,4,33,37,204,216
AP1714,1,1,2017,26,20,5,5,6.83,0,2.63,2.035,10/12/17,0.164,12.40853659,CCAAAA ,4,3,90,101,0,winter wheat,1,4,3,2,dairy,L,186,208,2,61,68,348,377
AP1715,1,1,2017,45,15,3,6,7.4,0,3.27,3.136,10/12/17,0.213,14.72300469,CCCAAAAA,4,1,0,0,0,none,0,3,3,2,dairy,L,40,45,2,21,24,61,69
AP1716,1,1,2017,58,8,5,3,7.3,0,3.5,3.962,10/2/18,0.246,16.10569106,CCCAAAAA,4,3,90,101,0,none,0,3,3,1,dairy,L,60,67,4,21,24,182,192
AP1717,1,1,2017,22.4,22.5,5,5,7.4,0,3.27,2.305,1/31/19,0.201,11.46766169,CC,1,0,0,0,0,none,0,0,1,5,dairy,L,51,57,4,109,122,160,180
DR1501,2,1,2015,18,11,3,5,6.9,0,2.6,1.645,10/12/17,0.161,10.2173913,CCOAA,4,0,0,0,0,none,0,2,3,2,beef,S,0,0,0,77,87,77,87
DR1502,2,1,2015,18,11,3,5,6.43,0,3.03,1.683,10/12/17,0.179,9.402234637,CCRye,3,4,0,0,0,none,0,2,3,3,beef,S,60,67,3,77,87,137,154
DR1503,2,1,2015,24,11,4,5,5.97,0,2.67,1.412,10/12/17,0.064,22.0625,.,.,0,0,0,0,none,.,3,.,.,dairy,.,100,112,2,59,66,159,178
DR1504,2,1,2015,30.1,15,5,5,6.8,0,2.13,1.534,10/12/17,0.144,10.65277778,CCCAAAA,4,1,0,0,0,none,0,2,3,5,dairy,S,60,67,4,80,90,140,157
DR1505,2,1,2015,32.9,10,5,5,5.87,0,2.37,1.227,10/12/17,0.251,4.888446215,CS,2,2,0,0,0,none,0,1,2,1,turkey,S,72,81,4,98,109,170,190
DR1506,2,1,2015,32.9,10,5,5,6.87,0,2.17,1.396,10/12/17,0.186,7.505376344,CS,2,2,0,0,0,none,0,1,2,1,turkey,S,0,0,0,167,187,167,187
DR1507,2,1,2015,26.1,21.5,5,5,6.8,0,2.13,1.22,10/12/17,0.389,3.136246787,CS,2,1,0,0,0,none,0,2,2,1,turkey,S,72,81,2,130,145,202,226
DR1508,2,1,2015,9,17,2,5,7.33,0,2.47,1.375,1/31/19,0.106,12.97169811,CS,2,2,0,0,0,none,0,2,3,3,dairy,L,0,0,0,121,136,121,136
DR1601,2,1,2016,22.4,22.5,4,5,7.67,1,2.67,1.552,1/31/19,0.125,12.416,CC,1,1,0,0,0,none,0,2,3,4,dairy,L,180,202,4,24,27,204,229
DR1602,2,1,2016,14,15,4,5,7,1,4.7,2.692,10/12/17,0.269,10.00743494,CC,1,1,0,0,0,none,0,2,3,3,dairy,L,0,0,0,187,210,187,210
DR1603,2,1,2016,32.3,11.5,4,5,6.67,0,2.5,1.675,10/12/17,0.193,8.678756477,CCOAA,4,0,0,0,0,oats,1,2,3,3,dairy,L,150,168,2,30,33,180,201
DR1604,2,1,2016,18,11,3,5,7.13,0,2.97,2.113,10/12/17,0.212,9.966981132,CCOAA,4,3,90,101,0,none,0,2,3,2,beef,S,0,0,0,77,87,178,187
DR1605,2,1,2016,24,11,4,5,6.77,0,2.97,1.915,10/12/17,0.178,10.75842697,ACRyeCC,4,4,0,0,0,none,0,2,3,3,beef,S,87,97,2,9,10,96,108
DR1606,2,1,2016,18,11,3,5,6.6,0,2.67,1.673,10/12/17,0.193,8.668393782,CCRye,3,1,0,0,0,none,0,2,3,4,beef,S,0,0,0,77,87,77,87
DR1607,2,1,2016,24,11,4,5,6.55,0,2.53,1.729,10/12/17,0.171,10.11111111,.,.,1,0,0,0,none,.,3,.,.,dairy,.,120,134,2,59,66,179,200
DR1608,2,1,2016,30.1,15,5,5,7.9,0,2,1.281,1/31/19,0.139,9.215827338,CS,2,2,0,0,0,none,0,2,3,3,dairy,S,40,45,3,136,153,176,198
DR1609,2,1,2016,30.1,15,5,5,7.43,0,3,1.958,2/28/19,0.215,9.106976744,CC,1,1,0,0,0,none,0,2,3,2,dairy,S,40,45,4,136,153,176,198
DR1610,2,1,2016,32.9,10,5,5,6.77,0,1.97,1.35,10/12/17,0.143,9.440559441,CS,2,2,0,0,1,Rye,2,2,3,3,swine,L,87,97,2,77,87,164,184
DR1611,2,1,2016,7.2,22.5,5,5,7,0,4.3,3.244,10/12/17,0.318,10.20125786,CC,1,0,0,0,0,none,0,3,3,5,dairy,L,210,235,3,0,0,210,235
DR1612,2,1,2016,24,11,4,5,6.9,0,2.4,1.461,10/12/17,0.152,9.611842105,CCS,2,1,0,0,0,none,0,2,3,1,turkey,s,87,97,2,135,152,222,249
DR1613,2,1,2016,30.1,15,5,5,6.83,0,2.43,1.719,10/12/17,0.181,9.497237569,CS,2,2,0,0,0,none,0,1,3,1,turkey,s,87,97,4,94,105,181,203
DR1614,2,1,2016,30.1,15,5,5,6.7,0,2.63,2.001,10/12/17,0.17,11.77058824,CS,2,2,0,0,0,none,0,1,3,1,turkey,s,0,0,0,155,174,155,174
DR1615,2,1,2016,18,11,3,5,7.47,0,2.43,1.425,1/31/19,0.168,8.482142857,CS,2,2,0,0,0,none,0,1,3,3,dairy,B,30,34,3,184,206,214,239
DR1616,2,1,2016,45.8,10.5,5,6,7.57,0,2.6,1.6,10/12/17,0.171,9.356725146,CS,2,2,0,0,0,none,0,2,3,1,dairy,L,0,0,0,163,182,163,182
DR1701,2,1,2017,68.5,10,5,3,7.27,0,2.53,2.368,10/12/17,0.247,9.587044534,CCCAAAA,4,3,90,101,0,none,0,1,3,1,dairy,L,0,0,0,37,42,138,142
DR1702,2,1,2017,14,15,4,5,7.07,1,4.47,3.362,10/12/17,0.307,10.95114007,CC,1,0,0,0,0,none,0,2,3,3,dairy,L,182,204,2,16,18,198,222
DR1703,2,1,2017,18,11,3,5,7.6,0,2.57,1.899,10/12/17,0.215,8.83255814,CCOAA,4,1,0,0,0,none,0,2,3,2,beef,S,30,34,3,137,153,167,187
DR1704,2,1,2017,24,11,4,5,7,0,2.73,2.219,10/12/17,0.208,10.66826923,ACRyeC,4,0,0,0,0,none,0,2,3,3,beef,S,84,94,2,86,97,170,191
DR1705,2,1,2017,18,11,3,5,7.1,0,2.17,1.793,10/12/17,0.192,9.338541667,CS,2,2,0,0,0,none,0,2,3,2,beef,S,84,94,2,86,97,170,191
DR1706,2,1,2017,32.9,10,5,5,7.37,0,2.17,1.413,10/12/17,0.17,8.311764706,CS,1,2,0,0,0,none,0,1,3,5,dairy,S,40,45,3,111,124,151,169
DR1707,2,1,2017,26.3,21,5,5,7.43,0,1.87,2.215,10/12/17,0.202,10.96534653,CS,2,2,0,0,1,Rye,2,2,3,3,swine,L,72,80,4,70,78,141,158
DR1708,2,1,2017,26.3,21,5,5,7.37,0,2.23,1.958,10/12/17,0.19,10.30526316,CS,2,2,0,0,0,Rye,2,2,3,3,.,L,0,0,0,144,161,144,161
DR1709,2,1,2017,32.3,11.5,4,5,7,0,2.1,1.82,10/12/17,0.193,9.412003005,CS,2,2,0,0,0,none,0,2,3,0,none,none,0,0,0,92,102,92,102
DR1710,2,1,2017,24,11,4,5,6.87,0,3.2,1.949,10/12/17,0.193,10.0984456,CCCCsorghum,1,0,0,0,0,none,0,3,3,5,dairy,L,245,274,4,0,0,245,274
DR1711,2,1,2017,24,11,4,5,6.77,0,2.73,1.999,10/12/17,0.197,10.14720812,CCCSAAA?,4,3,90,101,0,none,0,3,3,1,dairy,L,150,168,4,0,0,251,269
DR1712,2,1,2017,30.1,15,5,5,6.5,0,2.33,1.582,10/12/17,0.191,8.282722513,CS,2,1,0,0,0,none,0,2,3,1,turkey,S,0,0,0,199,223,199,223
DR1713,2,1,2017,32.9,10,5,5,6.87,0,3,2.138,10/12/17,0.198,10.7979798,CS,2,2,0,0,0,none,0,1,2,1,turkey,S,0,0,0,164,184,164,184
DR1714,2,1,2017,21.7,23.5,3,5,7.73,0,2.37,1.533,10/12/17,0.19,8.068421053,CC,1,1,0,0,0,none,0,3,3,1,dairy,L,0,0,0,168,188,168,188
DR1715,2,1,2017,32.9,10,5,5,7.13,0,2.63,1.863,10/12/17,0.196,9.505102041,CS,2,2,0,0,0,none,0,2,3,3,dairy,L,60,67,2,138,154,198,221
DR1716,2,1,2017,55,8,5,4,6.67,0,1.83,1.305,10/12/17,0.184,7.092391304,CCCS,2,2,0,0,1,Rye,1,0,2,1,turkey,s,0,0,0,149,167,149,167
DR1717,2,1,2017,14.3,13,5,5,6.77,0,1.73,1.24,10/12/17,0.139,8.920863309,CCS,2,1,0,0,0,none,0,2,2,2,turkey,S,84,94,2,123,138,207,232
DR1718,2,1,2017,55,8,5,4,6.7,0,0.97,0.961,10/12/17,0.133,7.22556391,CCS ,2,1,0,0,0,none,0,2,2,2,turkey,S,84,94,2,123,138,207,232
DR1719,2,1,2017,68.2,8,6,4,6.4,0,1.27,1.168,10/12/17,0.141,8.283687943,CRye,3,4,0,0,1,"crimson clover, sudan grass, rapeseed, tillage radish",2,0,2,1,turkey,S,0,0,0,195,219,195,219
DR1720,2,1,2017,30.1,15,4,5,7.33,0,3.37,2.449,10/12/17,0.218,11.23394495,CCOAA,4,3,90,101,0,none,0,0,.,2,beef,S,75,84,2,103,115,278,300
DR1721,2,1,2017,30.1,15,4,5,7.27,0,2.33,1.902,10/12/17,0.198,9.606060606,CCOAA,4,3,90,101,0,none,0,0,.,2,beef,S,0,0,0,103,115,203,216
EC1601,3,1,2016,30.4,14,5,5,6.3,0,1.3,1.067,10/12/17,0.118,9.042372881,CCS,2,2,0,0,1,Rye,1,1,2,4,chicken,S,45,50,2,132,148,177,198
EC1602,3,1,2016,29.7,16,5,5,5.27,0,1.27,0.439,10/12/17,0.043,10.20930233,CCS,2,1,0,0,0,none,0,2,2,2,chicken,S,45,50,4,150,168,195,219
EC1603,3,1,2016,66.1,14,5,5,6.5,0,1.9,2.35,10/12/17,0.217,10.82949309,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,179,201,179,201
EC1604,3,1,2016,9.5,22.5,4,5,5.5,0,2.13,1.156,10/12/17,0.131,8.824427481,CS,2,1,0,0,0,none,0,0,1,0,none,none,0,0,0,209,234,209,234
EC1605,3,1,2016,18,15,5,5,5.57,0,2.33,1.365,10/12/17,0.168,8.125,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,188,210,188,210
EC1606,3,1,2016,18,15,5,5,6.87,0,3.13,2.216,10/12/17,0.247,8.971659919,CC,1,0,0,0,1,Rye,1,1,3,5,dairy,L,100,112,2,103,116,203,228
EC1607,3,1,2016,30.4,14,5,5,6.8,0,2.4,1.642,10/12/17,0.19,8.642105263,CC,1,0,0,0,1,Rye,2,1,2,5,dairy,L,70,78,2,103,115,173,194
EC1608,3,1,2016,30.4,14,5,5,6.5,0,1.87,1.758,10/12/17,0.135,13.02222222,CCAAAA,4,3,90,101,0,none,0,0,3,0,none,none,0,0,0,103,115,204,216
EC1609,3,1,2016,66.6,10,5,4,7.13,0,2.63,2.09,1/31/19,0.252,8.293650794,CC,1,0,0,0,0,none,0,2,2,5,dairy,L,248,277,2,113,127,361,404
EC1610,3,1,2016,9.5,22.5,4,5,6.53,0,2.4,1.108,10/12/17,0.113,9.805309735,CCOAA,4,3,90,101,0,none,0,1,2,1,dairy,L,248,277,4,68,76,416,454
EC1611,3,1,2016,66.6,10,5,4,6.77,0,1.87,1.125,10/12/17,0.121,9.297520661,CCOAA,4,0,0,0,0,none,0,1,2,2,dairy,L,248,277,4,0,0,248,277
EC1612,3,1,2016,11.6,19,5,5,6.27,0,3.93,2.729,10/12/17,0.237,11.51476793,CCS,2,2,0,0,1,"rye, crimson clover, radish",1,0,1,3,beef,S,54,60,4,200,224,254,284
EC1613,3,1,2016,30.4,14,5,5,6.9,0,2.43,1.556,10/12/17,0.177,8.790960452,COA,4,3,90,101,0,none,0,0,1,1,beef,S,18,20,2,155,174,274,295
EC1614,3,1,2016,20,17,5,5,6.77,0,2.9,1.817,10/12/17,0.172,10.56395349,CCOAAA,4,1,0,0,0,none,0,0,1,2,dairy,S,45,50,2,159,178,204,228
EC1615,3,1,2016,27.3,18,2,5,7.6,1,3.53,2.454,1/31/19,0.247,9.935222672,CC,1,0,0,0,1,Rye,1,0,1,5,dairy,L,48,54,3,136,152,184,206
EC1616,3,1,2016,8,17,5,5,7,0,1.67,2.248,10/12/17,0.238,9.445378151,COA,4,3,90,101,0,none,0,0,1,1,dairy,S,72,81,4,55,62,228,243
EC1617,3,1,2016,18,15,5,5,6.93,0,2.97,2.036,10/12/17,0.212,9.603773585,CSCOAAA,4,2,0,0,0,none,0,1,1,3,dairy,S,0,0,0,116,130,116,130
EC1618,3,1,2016,66.1,14,5,5,6.43,0,2.9,1.847,10/12/17,0.176,10.49431818,CCCOAAA,4,1,0,0,0,none,0,0,1,3,dairy,S,80,90,3,116,130,196,220
EC1619,3,1,2016,19,16,5,5,6.93,0,2.1,1.668,10/12/17,0.177,9.423728814,CCOAAA,4,3,90,101,0,none,0,0,1,.,dairy,S,0,0,0,116,130,217,231
EC1701,3,1,2017,81.1,10,7,2,6,0,0.7,1.053,10/12/17,0.174,6.051724138,CS,2,2,0,0,1,Rye,1,0,1,0,none,none,0,0,0,193,216,193,216
EC1702,3,1,2017,29.7,16,5,4,6.23,0,1.3,1.119,10/12/17,0.157,7.127388535,CS,2,2,0,0,0,Rye,1,0,1,0,none,none,0,0,0,215,241,215,241
EC1703,3,1,2017,30.4,14,5,5,6.3,0,1.8,1.158,10/12/17,0.193,6,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,200,224,200,224
EC1704,3,1,2017,30.4,14,5,5,6.6,0,2.53,1.634,10/12/17,0.213,7.671361502,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,200,224,200,224
EC1706,3,1,2017,8,17,5,5,6.97,0,4.37,2.957,10/12/17,0.272,10.87132353,COA,4,0,0,0,1,Rye,1,0,1,2,dairy,S,50,56,3,119,133,169,189
EC1707,3,1,2017,66.6,10,5,4,6.5,0,0.9,0.984,10/12/17,0.15,6.56,CS,2,2,0,0,1,Rye,2,0,1,1,chicken,S,35,39,2,163,182,198,222
EC1708,3,1,2017,29.7,16,5,5,7.03,0,1.23,0.91,10/12/17,0.126,7.222222222,CCCOAA,4,0,0,0,1,Rye,2,0,1,3,dairy,L,49,55,2,163,182,212,237
EC1710,3,1,2017,7,16,5,5,6,0,1.43,1.096,10/12/17,0.124,8.838709677,CCS,2,1,0,0,0,Rye,1,1,2,4,chicken,S,0,0,0,159,178,159,178
EC1711,3,1,2017,11.6,19,5,5,6.83,0,3.47,2.424,10/12/17,0.245,9.893877551,CCS,2,2,0,0,0,none,0,1,1,.,beef,.,34,38,3,282,315,316,353
EC1713,3,1,2017,11.6,19,5,5,7.1,0,3.6,2.405,10/12/17,0.221,10.88235294,CCS,2,1,0,0,0,none,0,1,1,.,beef,.,34,38,3,282,315,316,353
EC1715,3,1,2017,11.6,19,5,5,6.57,0,2.3,1.664,10/12/17,0.196,8.489795918,CCS,2,2,0,0,1,Rye,1,1,1,3,beef,S,54,61,4,282,315,336,376
EC1716,3,1,2017,19,16,5,5,6.83,0,2.1,3.271,10/12/17,0.309,10.58576052,CCS,2,0,0,0,1,Rye,2,1,3,4,dairy,L,70,78,2,90,101,160,179
EC1717,3,1,2017,29.7,16,5,5,6.4,0,1.67,1.717,10/12/17,0.19,9.036842105,CC,1,0,0,0,1,Rye,2,1,3,4,dairy,L,70,78,2,90,101,160,179
EC1718,3,1,2017,18,15,5,5,6.77,0,3.23,2.38,10/12/17,0.242,9.834710744,CC,1,0,0,0,0,Rye,1,1,3,5,dairy,L,70,78,4,90,101,160,179
EC1719,3,1,2017,30.4,14,5,5,5.03,0,1.43,1.535,10/12/17,0.2,7.675,CSCCS,2,2,0,0,1,Rye,1,0,1,0,none,none,0,0,0,96,107,96,107
EC1720,3,1,2017,18,15,5,5,6.87,0,2.63,1.345,10/12/17,0.188,7.154255319,CCOAAA,4,3,90,101,0,none,0,0,1,1,dairy,S,50,56,2,84,94,235,251
EC1721,3,1,2017,18,15,5,5,6.93,0,2.8,1.905,10/12/17,0.208,9.158653846,CCCOAAA,4,1,0,0,0,none,0,0,1,3,dairy,S,50,56,3,84,94,134,150
EC1722,3,1,2017,66.2,10.5,5,4,6.77,0,1.27,0.924,10/12/17,0.152,6.078947368,CCB(arley)AA,4,3,90,101,0,clover and grass,2,2,3,3,chicken,S,60,67,4,3,3,163,171
EC1723,3,1,2017,19,16,5,5,6.73,0,1.6,1.488,10/12/17,0.197,7.553299492,CSB(arley),3,2,0,0,0,Y,2,3,.,3,chicken,S,72,81,2,3,3,75,84
JV1501,4,1,2015,13.7,17,4,5,7,0,3.4,2.081,10/12/17,0.122,17.05737705,CCCCCOAAA,4,0,0,0,0,none,0,1,2,5,dairy,S,95,106,3,32,36,127,143
