FieldID,Region,Sampling Time,Year,Sand,Clay,Drainage,SoilType,pH,tile,OM,TOC,Date_Of_TOC,TN,CtoN,Rtn,rtnNumber,PrevCrop,Ncredit_lb/ac,Ncredit_kg/ha,CvrPriorYr,cvrsSpeciesLgTm,cvrs5yrs,SpringfallTillPasses,tillType,mnr5yrs,mnrSource,mnrSolid,mnrN_lb/ac,mnrN_kg/ha,mnrTiming,fertN_lb/ac,fertN_kg/ha,totalN_lb/ac,totalN_kg/ha
JV1502,4,1,2015,10,18,5,5,6.6,0,3.27,1.95,10/12/17,0.159,12.26415094,CCOAAA,4,3,90,101,0,none,0,0,3,5,dairy,L,90,100,2,8,9,198,210
JV1503,4,1,2015,10,19,5,5,6.23,0,3.5,2.064,10/12/17,0.103,20.03883495,CCOAAA,4,0,0,0,0,none,0,0,3,1,dairy,L,90,100,2,87,98,177,198
JV1504,4,1,2015,10,16,5,5,7.1,0,3.13,1.972,10/12/17,0.14,14.08571429,CCCCCOAAA,4,0,0,0,0,none,0,0,3,2,dairy,L,90,100,4,87,98,177,198
JV1505,4,1,2015,10,16,5,5,7.1,0,3.27,1.592,10/12/17,0.167,9.532934132,CS,2,2,0,0,0,none,0,0,1,5,beef,S,90,101,2,9,10,99,111
JV1506,4,1,2015,10,16,5,5,6.47,0,3.27,1.6,10/12/17,0.168,9.523809524,CCSOAA,4,1,0,0,0,none,0,0,3,2,beef,S,90,101,4,55,62,145,162
JV1507,4,1,2015,11,16,5,5,6.57,0,2.67,1.514,10/12/17,0.131,11.55725191,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,122,137,122,137
JV1508,4,1,2015,11.8,18,4,5,7.1,0,2.73,1.581,10/12/17,0.152,10.40131579,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,122,137,122,137
JV1509,4,1,2015,10,19,5,5,7.03,0,2.97,1.9,10/12/17,0.376,5.053191489,CCCCCCOAAA,4,0,0,0,1,Rye,1,0,1,5,dairy,L,84,94,4,107,120,191,214
JV1510,4,1,2015,10,16,5,5,7.3,0,3.1,1.867,1/31/19,0.154,12.12337662,CCCOAAA,4,0,0,0,1,Rye,1,0,1,0,none,none,0,0,0,179,201,179,201
JV1512,4,1,2015,10,18,5,5,6.6,0,3.57,2.352,10/12/17,0.169,13.91715976,COA,4,1,0,0,0,none,0,0,1,2,dairy,S,42,47,4,144,161,186,208
JV1513,4,1,2015,10,18,5,5,6.47,0,3.63,2.297,10/12/17,0.164,14.00609756,COA,4,1,0,0,0,none,0,0,1,2,dairy,S,42,47,4,144,161,186,208
JV1514,4,1,2015,10,18,5,5,7.27,0,3.37,2.303,10/12/17,0.19,12.12105263,COA,4,3,90,101,0,none,0,0,1,2,dairy,S,140,157,2,6,7,247,264
JV1515,4,1,2015,11.8,18,4,5,7.1,0,3.1,1.98,10/12/17,0.169,11.71597633,CCCOA,4,1,0,0,0,none,0,0,1,2,dairy,S,56,63,2,125,140,181,202
JV1516,4,1,2015,11.8,18,4,5,6.9,0,3.23,1.923,10/12/17,0.186,10.33870968,CCOAA,4,3,90,101,0,none,0,1,2,1,dairy,L,138,154,2,8,9,246,264
JV1601,4,1,2016,10,16,5,5,6.6,0,3.07,1.837,10/12/17,0.22,8.35,CCOAAA,4,3,90,101,0,none,0,0,3,1,dairy,L,0,0,0,55,62,156,162
JV1602,4,1,2016,20,17,5,5,6.77,0,3.17,2.374,10/12/17,0.262,9.061068702,CCOAAA,4,0,0,0,0,none,0,2,3,2,dairy,L,171,192,4,55,62,226,253
JV1603,4,1,2016,6,17,5,5,6.07,0,3.87,2.546,10/12/17,0.222,11.46846847,CC,1,1,0,0,0,none,0,1,2,0,none,none,0,0,0,212,238,212,238
JV1604,4,1,2016,6,17,5,5,5.83,0,3.57,2.385,10/12/17,0.223,10.69506726,CC,1,1,0,0,0,none,0,1,2,0,none,none,0,0,0,262,294,262,294
JV1605,4,1,2016,10,19,5,5,7.07,0,3.1,2.123,10/12/17,0.218,9.73853211,CCOA,4,0,0,0,0,Rye,1,0,1,3,dairy,L,42,47,4,150,168,192,215
JV1606,4,1,2016,10,16,5,5,6.83,0,3.5,2.371,10/12/17,0.239,9.920502092,COA,4,3,90,101,0,none,0,0,1,0,none,none,0,0,0,120,134,221,235
JV1607,4,1,2016,10,16,5,5,7,0,3.1,2.046,10/12/17,0.224,9.133928571,CS,2,2,0,0,0,none,0,0,1,5,beef,S,75,84,3,83,93,158,177
JV1608,4,1,2016,6,17,5,5,6.8,0,2.8,1.777,10/12/17,0.184,9.657608696,CCOAAA,4,0,0,0,0,none,0,3,2,2,beef,S,75,84,3,83,93,158,177
JV1609,4,1,2016,11.8,18,4,5,6.97,0,2.77,1.611,10/12/17,0.162,9.944444444,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,134,150,134,150
JV1610,4,1,2016,11.8,18,4,5,7.1,0,2.7,1.644,10/12/17,0.17,9.670588235,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,134,150,134,150
JV1611,4,1,2016,10,19,5,5,6.87,0,2,0.961,10/12/17,0.125,7.688,CSCOAAA,4,2,0,0,1,Rye,1,0,1,2,dairy,S,0,0,0,111,125,111,125
JV1612,4,1,2016,10,18,5,5,7,0,2.93,1.691,10/12/17,0.133,12.71428571,COA,4,3,90,101,0,none,0,0,1,1,dairy,.,91,102,2,111,125,303,327
JV1614,4,1,2016,10,16,5,5,7.3,0,3.43,2.469,10/12/17,0.234,10.55128205,CCCOAAA,4,1,0,0,0,none,0,0,1,2,dairy,L,0,0,0,191,214,191,214
JV1616,4,1,2016,11.8,18,4,5,7.07,0,3.2,2.124,10/12/17,0.223,9.524663677,CCCCCCOAAA,4,0,0,0,1,Rye,2,0,1,5,dairy,L,84,94,3,80,89,164,183
JV1618,4,1,2016,13.7,17,4,5,7.13,0,4.5,2.866,1/31/19,0.27,10.61481481,CCOAAA,4,3,90,101,0,none,0,1,2,1,dairy,S,0,0,0,0,0,101,101
JV1619,4,1,2016,11.8,18,4,5,7.37,0,2.73,1.854,1/31/19,0.214,8.663551402,CCOAAA,4,3,90,101,0,none,0,1,2,1,dairy,S,140,157,1,0,0,241,258
JV1620,4,1,2016,13.7,17,4,5,7.03,0,2.5,2.828,10/12/17,0.308,9.181818182,CCOAAA,4,0,0,0,0,none,0,1,2,2,dairy,S,105,118,4,0,0,105,118
JV1621,4,1,2016,11.8,18,4,5,7.17,0,2.63,1.789,10/12/17,0.188,9.515957447,CCOAAA,4,0,0,0,0,none,0,1,2,2,dairy,S,105,118,4,69,77,174,195
JV1622,4,1,2016,6,17,5,5,7.1,0,3,1.822,10/12/17,0.133,13.69924812,CCOAAA,4,1,0,0,0,none,0,2,3,2,dairy,S,197,221,4,5,6,202,226
JV1701,4,1,2017,6,17,5,5,7.37,0,2.47,1.474,10/12/17,0.182,8.098901099,CSCOAAA,4,2,0,0,1,Rye,1,0,1,2,dairy,S,0,0,0,153,171,153,171
JV1702,4,1,2017,6,17,5,5,7.6,0,2.53,1.745,10/12/17,0.205,8.512195122,COA,4,1,0,0,0,none,0,0,1,3,dairy,S,91,102,2,125,140,216,242
JV1703,4,1,2017,6,17,5,5,7.37,0,2.77,1.828,10/12/17,0.212,8.622641509,COA,4,3,90,101,0,none,0,0,1,1,dairy,S,.,.,2,65,73,166,174
JV1704,4,1,2017,10,18,5,5,6.1,0,2.67,1.552,10/12/17,0.198,7.838383838,COA,4,3,90,101,0,none,0,0,1,1,dairy,.,42,47,4,113,127,256,275
JV1706,4,1,2017,10,19,5,5,7.33,0,3.1,2.202,10/12/17,0.242,9.099173554,CCCOA,4,0,0,0,1,Rye,2,0,1,3,dairy,L,63,71,4,163,183,226,253
JV1707,4,1,2017,6,17,5,5,6.63,0,3.23,2.011,10/12/17,0.187,10.7540107,CC,1,1,0,0,0,none,0,2,2,0,none,none,0,0,0,214,240,214,240
JV1708,4,1,2017,6,17,5,5,7.23,0,3,1.732,10/12/17,0.209,8.28708134,CC,1,1,0,0,0,none,0,2,2,0,none,none,0,0,0,279,312,279,312
JV1709,4,1,2017,10,16,5,5,7.2,0,3.17,2.157,10/12/17,0.233,9.25751073,CCCOHHH,4,1,0,0,0,none,0,0,1,3,dairy,L,84,94,2,80,89,164,183
JV1710,4,1,2017,10,16,5,5,7.37,0,2.87,2.254,10/12/17,0.215,10.48372093,CCCOHHH,4,1,0,0,0,none,0,0,1,3,dairy,L,84,94,2,80,89,164,183
JV1711,4,1,2017,10,19,5,5,7.23,0,2.77,1.743,1/31/19,0.203,8.586206897,CCCCCOAAA,4,0,0,0,1,Rye,3,0,1,5,dairy,L,84,94,4,79,88,163,183
JV1712,4,1,2017,10,16,5,5,6.9,0,2.97,2.023,10/12/17,0.231,8.757575758,CCCOAAA,4,1,0,0,0,none,0,0,1,0,none,none,0,0,0,173,194,173,194
JV1713,4,1,2017,10,16,5,5,7.23,0,3.17,1.904,10/12/17,0.202,9.425742574,CCCCCOAAA,4,0,0,0,0,none,0,1,3,3,dairy,L,124,139,4,78,87,202,226
SE1501,5,1,2015,9.5,22.5,5,5,6.27,0,3.37,2.175,10/12/17,0.389,5.59125964,.,.,4,0,0,1,none,.,1,.,.,dairy,.,50,56,2,150,168,200,224
SE1502,5,1,2015,66.9,10,5,4,7.17,0,1.6,0.753,10/12/17,0.164,4.591463415,CSW,3,4,0,0,1,12-species mix,2,0,1,2,chicken,S,48,54,1,151,169,199,223
SE1503,5,1,2015,9.5,22.5,5,5,6.3,1,2.1,1.327,10/12/17,0.229,5.794759825,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,156,175,156,175
SE1504,5,1,2015,7.2,22.5,4,5,5.87,0,5.13,3.574,10/12/17,0.177,20.1920904,CCCCS ,2,2,0,0,0,none,0,2,3,0,none,none,0,0,0,207,232,207,232
SE1505,5,1,2015,9.5,22.5,5,5,6.47,0,3.8,2.317,10/12/17,0.117,19.8034188,CCCCSW,3,1,0,0,0,none,0,3,3,0,none,none,0,0,0,207,232,207,232
SE1506,5,1,2015,66.9,10,5,4,7.67,1,3.77,2.088,10/12/17,0.204,10.23529412,CCCSquash,1,1,0,0,0,rye,1,1,3,0,none,none,0,0,0,172,193,172,193
SE1507,5,1,2015,6.7,31,2,7,7.87,1,6.27,5.301,10/2/18,0.239,22.17991632,CCS,2,1,0,0,0,none,0,2,3,3,dairy,L,0,0,0,165,185,165,185
SE1508,5,1,2015,20,16,5,5,7.07,1,2,1.14,10/12/17,0.233,4.892703863,CCS,2,2,0,0,0,none,0,1,1,0,none,none,0,0,0,166,186,166,186
SE1509,5,1,2015,9.5,22.5,4,5,6.87,1,2,1.206,10/12/17,0.204,5.911764706,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,160,180,160,180
SE1510,5,1,2015,29.7,16,3,5,7.63,1,2.6,1.626,10/12/17,0.189,8.603174603,CS,2,2,0,0,0,none,0,1,1,0,none,none,0,0,0,160,179,160,179
SE1511,5,1,2015,30,15,1,5,7.43,0,5.27,4.834,10/2/18,0.211,22.90995261,CCCAAAA,4,0,0,0,0,none,0,3,3,5,dairy,L,199,223,3,3,3,202,226
SE1512,5,1,2015,58,15,3,3,7.77,0,2.87,2.28,1/31/19,0.201,11.34328358,CC,1,0,0,0,1,rye,1,3,3,5,dairy,L,215,241,4,91,102,306,343
SE1603,5,1,2016,68.8,15,5,3,7.37,0,2.57,2.062,10/12/17,0.201,10.25870647,CSCSW,3,2,0,0,0,"13-species mix, rye",2,0,1,2,chicken,S,24,27,3,124,139,148,166
SE1604,5,1,2016,68.8,15,5,3,6.7,.,2.27,1.898,10/12/17,0.207,9.169082126,CSWAAA,4,2,0,0,0,15-species mix,1,0,1,1,chicken,S,24,27,3,124,139,148,166
SE1605,5,1,2016,9.5,22.5,5,5,6.07,.,2.03,1.315,10/12/17,0.164,8.018292683,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,155,174,155,174
SE1606,5,1,2016,9.5,22.5,5,5,5.83,.,1.7,0.967,10/12/17,0.123,7.861788618,CCCCSW,3,4,0,0,1,"crimson clover, radish",1,0,3,1,beef,S,100,112,1,211,236,311,348
SE1607,5,1,2016,9.5,22.5,4,5,7.1,.,1.92,1.156,10/12/17,0.148,7.810810811,CCCCS,2,1,0,0,0,none,0,3,3,0,none,none,0,0,0,245,274,245,274
SE1608,5,1,2016,67.5,11.5,3,3,7.38,1,2.98,1.953,10/12/17,0.173,11.28901734,CCCCSquash,1,1,0,0,0,rye,2,1,3,0,none,none,0,0,0,173,194,173,194
SE1609,5,1,2016,66.9,10,3,4,6.83,.,1.4,0.396,10/12/17,0.019,20.84210526,CS,2,2,0,0,0,multispecies with sudan grass; rye,4,0,1,0,none,none,0,0,0,155,174,155,174
SE1610,5,1,2016,20,16,5,5,7.03,0,3.07,1.695,10/12/17,0.169,10.0295858,CSCAAAA,4,2,0,0,1,rye,1,0,1,4,dairy,L,0,0,0,130,146,130,146
SE1611,5,1,2016,6.7,31,2,7,6.03,0,3.77,2.023,10/12/17,0.186,10.87634409,CCS,2,1,0,0,0,none,0,0,1,0,none,none,0,0,0,172,192,172,192
SE1612,5,1,2016,6.9,24.5,4,5,7,0,2.3,1.558,10/12/17,0.17,9.164705882,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,134,151,134,151
SE1613,5,1,2016,29.7,16,3,5,6.97,0,2.17,1.632,10/12/17,0.166,9.831325301,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,134,151,134,151
SE1614,5,1,2016,7,31,1,7,7.48,0,4.7,2.058,10/12/17,0.197,10.44670051,CCCCAAA,4,0,0,0,1,rye,1,2,3,5,dairy,L,105,118,2,0,0,105,118
SE1615,5,1,2016,7,31,1,7,7.17,0,6.87,4.852,10/12/17,0.445,10.90337079,CCCCAAA,4,0,0,0,1,rye,1,2,3,5,dairy,L,105,118,2,80,90,185,208
SE1701,5,1,2017,9.5,22.5,5,5,6.63,0,2.9,1.801,10/12/17,0.221,8.149321267,CCCCS,2,1,0,0,0,none,0,2,3,0,none,none,0,0,0,246,275,246,275
SE1702,5,1,2017,9.5,22.5,5,5,6.4,0,3.23,1.928,10/12/17,0.206,9.359223301,CCCCS,2,2,0,0,0,none,0,1,3,0,none,none,0,0,0,216,242,216,242
SE1703,5,1,2017,14,15,5,5,6.6,0,2.1,1.265,10/12/17,0.166,7.620481928,CCCCSW,3,4,0,0,1,"crimson clover, radish",1,2,3,1,beef,S,119,133,1,233,261,351,394
SE1704,5,1,2017,14,15,5,5,6.4,0,1.93,1.134,10/12/17,0.116,9.775862069,CCCCSW,3,4,0,0,0,none,0,2,3,1,beef,S,0,0,0,233,261,233,261
SE1705,5,1,2017,29.1,17.5,2,6,7.8,0,2.73,3.152,10/2/18,0.121,26.04958678,CSW,3,4,0,0,0,multispecies with sudan grass; rye,5,0,1,2,chicken,S,48,54,4,137,153,185,207
SE1706,5,1,2017,29.1,17.5,2,6,7.8,0,3.03,2.2,1/31/19,0.174,12.64367816,CSW,3,4,0,0,1,multispecies with sudan grass; rye,5,0,1,2,chicken,S,48,54,4,137,153,185,207
SE1707,5,1,2017,68.8,15,5,3,7.2,0,1.77,1.342,10/12/17,0.131,10.24427481,CSCSW,3,4,0,0,0,none,0,0,1,2,chicken,S,24,27,4,137,153,161,180
SE1708,5,1,2017,68.8,15,5,3,7.27,0,1.87,1.485,10/12/17,0.171,8.684210526,CSCSW,3,4,0,0,1,multispecies with sudan grass; rye,2,0,1,2,chicken,S,24,27,4,137,153,161,180
SE1709,5,1,2017,65.9,15,1,4,7.27,0,4.97,4.038,1/31/19,0.376,10.7393617,CCSquash,1,1,0,0,1,rye,3,1,3,0,none,none,0,0,0,170,191,170,191
SE1710,5,1,2017,67,10,5,4,7.2,0,2.7,1.779,1/31/19,0.225,7.906666667,CCCSquash,1,4,0,0,1,rye,1,1,3,0,none,none,0,0,0,170,191,170,191
SE1711,5,1,2017,29.7,16,3,5,7.73,0,2.83,2.154,1/31/19,0.272,7.919117647,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,130,145,130,145
SE1712,5,1,2017,9.5,22.5,4,5,7.1,0,1.7,1.052,10/12/17,0.208,5.057692308,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,130,145,130,145
SE1713,5,1,2017,9.5,22.5,5,5,6.03,0,1.93,1.109,10/12/17,0.139,7.978417266,CS,2,2,0,0,0,none,0,0,1,0,none,none,0,0,0,163,183,163,183
SE1714,5,1,2017,18.5,37.5,1,7,7.3,0,4.13,2.939,2/28/19,0.331,8.879154079,CCCAAAA,4,3,90,101,0,none,0,2,3,3,dairy,L,122,136,3,3,4,226,241
SE1715,5,1,2017,67.7,11,3,3,7.3,0,1.5,1.628,10/12/17,0.292,5.573113965,CCAAA,4,1,0,0,0,none,0,4,3,3,dairy,L,65,73,4,50,56,115,129
SE1716,5,1,2017,6.7,31,2,7,7.57,0,6.23,4.179,2/28/19,0.376,11.1143617,CCS,2,2,0,0,0,none,0,2,3,3,dairy,L,49,55,2,130,145,179,200
SE1717,5,1,2017,6.7,31,2,7,7.6,0,4.6,3.062,10/12/17,0.292,10.48630137,CCS,2,1,0,0,0,rye,1,0,.,3,dairy,L,0,0,0,130,145,130,145
T1,1,2,2017,58,8,5,3,7.3,1,3.7,2.308,1/31/19,0.2,11.54,CSWWAAA,4,0,0,0,0,none,0,3,3,1,dairy,L,46,52,.,73,82,119,133
T10,1,2,2017,43,17.5,3,6,7.3,1,2.4,1.72,2/28/19,0.1,17.2,CASW,4,0,0,0,0,rye,1,2,3,3,dairy,L,55,61,2,0,0,55,61
T12,1,2,2017,67.3,12.5,4,3,6.9,1,2.5,1.4,10/12/17,0.1,14,CSCCS,2,1,0,0,0,none,0,3,3,1,dairy,L,50,56,.,17,18,67,75
T14,1,2,2017,32.1,12,5,5,7.7,1,3.3,2.068,1/31/19,0.235,8.8,CCCCC,1,0,0,0,1,cereal rye,1,1,.,5,dairy,L,67,75,4,59,66,127,142
T15,1,2,2017,34,17,3,7,7,1,2.4,1.827,10/12/17,0.168,10.875,CCW,3,4,0,0,0,"oat, clover, radish, wheat, rye",1,0,3,2,dairy,B,45,50,.,0,0,45,50
T16,1,2,2017,30,14,5,5,7.5,1,2.6,2.425,10/12/17,0.223,10.87443946,CS,2,4,0,0,0,clovers ,1,.,3,3,dairy,L,63,71,2,0,0,63,71
T17,1,2,2017,26,21,5,5,4.9,1,1.6,1.198,10/12/17,0.149,8.040268456,CWCS,3,1,0,0,0,"radish, clover, rye, vetch",2,0,1,0,none,none,0,0,0,0,0,0,0
T18,1,2,2017,45,15,5,6,7.5,1,3.1,.,10/12/17,.,.,CSCSAAA,4,0,0,0,0,none,0,3,3,3,dairy,L,36,40,4,0,0,36,40
T19,1,2,2017,0,0,1,9,7.8,1,3.7,.,10/12/17,.,.,CS,2,2,0,0,0,none,0,3,3,3,dairy,L,36,40,4,207,232,243,272
T2,1,2,2017,7.2,22.5,3,5,7.9,1,3.3,1.871,1/31/19,0.2,9.355,CCCWAAA,4,0,0,0,0,"Oats, peas, radish, wheat",2,2,3,5,dairy,L,53,59,2,67,75,120,134
T20,1,2,2017,43.8,16,5,6,7.5,1,3.2,1.912,2/28/19,0.2,9.56,CSCAAAWW,4,2,0,0,0,"winter wheat, barley-pea mix",1,4,3,4,dairy,L,25,28,2,3,3,28,31
T21,1,2,2017,7,23.5,3,5,7.5,1,4,2.4,10/12/17,0.2,12,CSCSWWAA,4,0,0,0,0,none,0,1,3,4,dairy,L,29,33,2,35,39,64,72
T23,6,2,2017,21,28,2,8,6.8,1,6.1,4.5,10/12/17,0.4,11.25,CS,2,4,0,0,0,none,0,1,2,1,swine,L,25,28,.,143,160,168,188
T25,6,2,2017,21,28,2,8,6.1,1,5.2,3.5,10/12/17,0.3,11.66666667,CS,2,2,0,0,0,none,0,2,3,0,none,none,0,0,0,156,175,.,.
T27,6,2,2017,20,22,3,5,6.1,1,5,3.1,10/12/17,0.3,10.33333333,CS,2,2,0,0,0,none,0,2,3,0,none,none,0,0,0,143,160,.,.
T3,1,2,2017,30,14,5,5,8,1,2.5,3.3,10/2/18,0.2,16.5,CAAAWS,4,2,0,0,0,"barley, radish",1,3,3,2,dairy,L,84,94,2,2,2,86,97
T30,6,2,2017,30,32,3,8,6,1,5.1,3.7,10/12/17,0.3,12.33333333,CS,2,2,0,0,0,none,0,3,3,1,swine,L,25,28,.,.,.,.,.
T31,6,2,2017,30,32,2,8,5.7,1,4.8,2.9,10/12/17,0.2,14.5,CS,2,2,0,0,0,none,0,3,3,1,swine,L,25,28,.,23,26,48,54
T32,6,2,2017,11,36,1,8,7.6,1,6.7,5.429,1/31/19,0.4,13.5725,CS,2,2,0,0,0,none,0,2,3,0,none,none,0,0,0,87,98,.,.
T4,1,2,2017,68.8,7.5,3,4,7.2,1,2.9,1.8,10/12/17,0.1,18,BeetsAAAA,4,3,90,101,0,none,0,4,3,1,dairy,L,54,60,4,56,63,211,224
T6,1,2,2017,30,14,3,5,7.4,1,3.2,1.924,2/28/19,0.2,9.62,CCOAAAA,4,3,90,101,0,none,0,0,1,.,.,.,.,.,.,42,47,143,148
T7,1,2,2017,58,8,5,3,6.8,1,2.3,0.9,10/12/17,0.1,9,CCCCAAAA,4,3,90,101,1,cereal rye,1,0,.,.,dairy,L,0,0,0,10,11,111,112
T8,1,2,2017,73,17.5,3,6,6.8,1,3,2.4,10/12/17,0.2,12,CCCAAA,4,3,90,101,1,cereal rye,1,0,.,.,dairy,L,0,0,0,10,11,111,112
T9,1,2,2017,83.3,12.5,3,2,7.1,1,4.5,3.6,10/2/18,0.2,18,CCCAAA,4,3,90,101,1,none,2,0,3,2,dairy,L,57,64,.,0,0,158,164